date,title,link,Ticker
2025-04-04,HDFC Bank share price jumps despite Indian stock market fall. Here's why - Mint,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOei1IbTQxc1dibTkwTkoya0owZkxSbllUdWxDN3ViY3g4RF8zZDczNG5LakVhc01MeXpxRkNPRFNoMUNuTnIxZW4xN0NLRmpMRURDT1F4MlBYbEZNRm05N25OQTl3OERoODQ0TEVPcWZTbGlaeDVDSDRzaE0xczRNM1p5LXRqYjJvRC1ZUG5zNllSY0ZZbXpOZkl6NDJZWWlNMHBCd1kwQ0p1ZFdlMGtLTGJtcFFQTElJOWliNzd5RkRrZzZUSDlLMHFlLTcycXd6d3YwZWlRUdIB3AFBVV95cUxPNjRIS3R4RzFiQ29DUS1xblY3SHI0c21aMUN4Y00wSE16Rlh3dXR2MXlKeG1LTzhmMzZNcmJmUTM4MjFDREs5WndkUHpLM2xoNG1fZ0NRYk9LWGlNaExSaEphVFI1TF9QUVJva1BjMHBWX3lHb2lhUVJVSmUyOFVpYUdQZUtQcUNkbWgyUkJkUFNJYzdOVkZBTmxsZ181VlBmMmFzZENhWXZNc0VSaDA3Nk1OQVJnRjR0R3RRSDNxdXBiNTVPYW1FcnNtV25fZFAtQU4zWko5VTMxWl96?oc=5,HDFCBANK.NS
2025-04-22,"HDFC Bank share price jumps 11% in 6 days, becomes India’s 3rd company to hit ₹15 lakh crore m-cap. What’s next? - Mint",https://news.google.com/rss/articles/CBMiiAJBVV95cUxQazJGWGx6V2puTlFWUzRucTZLbDJPUkpFTk0ycGxOWF9wNEhudUZUUnZteTc3bzFVY0FlcG5hQ3RxRWtVN2YtY05nV0JJSFpWbzZqQlFaY1dTQWlIMkN0TWx0aDFDQjgwV0Y3QXRpMUM5Z3BMS3ZYa2pKZjNDWlhmTWxURXQzbnpsQlZnVVg2V2lud0VtWnBQQ1pTZVFuTnFSVjhvR3MxTkVmbjEwdkFDQWlCUTBoX0J2RmdPUkN0U0tTc1NvUXpYZC14XzVuREg4MVhuMGZiQkRwQXlTanBzdmNIQUhOQnFwby1aaHplSkJyRlZsRTZqb3RIUUpBS29BMFoxRXFKZS3SAY4CQVVfeXFMT0xPSlZoU1FNR044VEpjNnJtY0o5bjZTdXJRdkJzN2ZsY25HTHlCZGpSdlhmYnlFeDN1amRFUmlxVnBLQnpEdFMwV2o1dFBjeWhvTTlkV3RQdDlCYjRMSWNDYkxWTGxGQjBDbE5HZzNMV2I4cmg1TldXZzRsbngxT0Y0b3RZVkZrdTEyMWtYdUZlVUpYSllEUWVkcmd2Wlpad0N6ZDZlVFdVWThJT3JFNU8xZ1I1dHEzOWQzZlRiOG40SHF5M0VEdzlSN01EbENVSW9PdDJXMU94dDZkNkFxOXNxTU1SY2cxVldpbW84bWpvVzJIdVpCOHYxcWpZOUVHSEExUWhBQ2V2aHdncGl3?oc=5,HDFCBANK.NS
2025-05-12,"Bank shares in focus: SBI, IOB, Axis, HDFC Bank rally up to 5%; here's why - Business Standard",https://news.google.com/rss/articles/CBMizgFBVV95cUxQemVKajYyWURRcmhYVUVLdTVQQk5QQ2hyRnluWi13ZG5vWjhwRjdTVEsxMlhfLVB4RV9kQ0RMUGdkaF9xdDhvcUpmVUlhMXpnbnM1S1NKNmlvX2VQVFlpcVFzaUxCTlFrZmVFZ2VJN2hzdGVvVU4zb3dXU2VTbENqbXV6VlJrOS1VcGpxQzhUZVNhZ1dzZ1ZSNl83Q3VkOXVtYzE1M2I3VEhFaDlZU2huSk9GNXZCVXpkQ1BCU2JWYWllN3hSRWtDLWRIQ1lVd9IB0wFBVV95cUxNQVhIdVh5UlVCRmtuVW1UeVZTcWNUandtZWFHUjhBb3VzZExpdi1UeUZjZWxBTExObXNGbG9tMThwcTBseURqWVRiVW1HeFVodnV0VXNnTHlDZUdUenE4bXFBcUtUcmoyNFh6M05QcXNaQzd0VW0yVlhqZFdyNDhxSDZKYTIybnFSZ1BUbjd6SHV2cEp4QVN3VW81RHNPN3N1eGNKVy01X2ZPbU5LSVVaaDMtdWVzQ3ZKTGZ0ekNxZGlQMUhVQm1qVXFGYzk4alNNamhJ?oc=5,HDFCBANK.NS
2025-06-08,HDFC Bank stock to be in focus after Mehta family's FIR against CEO over Lilavati Trust allegations - Mint,https://news.google.com/rss/articles/CBMi_AFBVV95cUxQWmdfdlR5MTVSTzJjRmZLNHRySEdSV0JxSDc1S3Y2bjlZVy1xbmhZOExXdG4ta01zdC1xMEkzOXhKcWVFaUgtbWZiaHI5OWtQWEFNUVJqX2xqTHFucDdvckxWM2h3NnpYczlDd0RCdkpwSC1aSTdMcnJqY1ZPY0h1VlZ0NDN2cHZMR3V0em5nODM1alV3SUtPa0FjcDBudVZhWmo4dmM4NDBueWZKUFZSb3dVMjZZUnVoMENJblFqUDJsb3ZLVmJmcG9na1NkN0ZvVXZ4aEJldmZkU0syZzNFa2ltcUh3WUU3clRIYTFJZUY3cVI3aVNQaDlDanrSAYICQVVfeXFMTmlUa0dxN0hVOGptUlFrUDhiSzgzc09CamNXaE0tRTkzbTlGb0RTd2Q4QTItVDVJRC1TSXZLb1Q3bTA0TzJ3VW9kQ3IxTjR3Y09tX0Y4VVVfWC1PMzZzNnVkX3lFemhxU3ExWWVtelo4aXBTUFE3QzdOVUxjdlBlM0xCV2k5OEdKWmNlX1hiQWtrMnJlZEo0VGNWaVpWMEFOc2VWUnlmaTkxOUZiRWdHblNZMThFQmpDSTItMGdvLWNMZC1kYXFseS1NSUF5WHpNZlF4WGZnUGJscEs0VEdmUkVGaHk3NVRzXzFJUHVQWTF3cHBWRVRQS0ZnSjJPSHBHVkpB?oc=5,HDFCBANK.NS
2025-06-15,Top firms see valuation dip: HDFC Bank lead Rs 1.65 lakh crore Mcap loss; tech stocks rise - Times of India,https://news.google.com/rss/articles/CBMikAJBVV95cUxOc2FBVkhzZ19LWUpVbGRDMngtSnJKYnk1Ni1XNTdEU0RyRWFlU1pJMk9MY25oTkpTQk9iN2EtUWRxay1qZ1VsVE1sMWhKaEFnTkU1SmFvUHlHd0xzRXA3R3l4THhjTTM0RXBvN2JGZFdPZlo0ZHM2eFRobGpqTFJQQUdXSDZtLWozN3JnOWt1NWI3ejlUaXk1M0thLXhkb3FTQWY2cWY0ZTNDdnVPX1dUa0JTU0hSQ0hzQnNuSzZHbWpkOC1MaWI2TnE5T2wxMVdmaVF1V3pES2RpRUtyRTJta2RTM3BMOF9tcDVwRC1nOU1DVWNUMjVPOGpXRTJyWDhrWXZZMGN3M3dTdFVVMUpBddIBlgJBVV95cUxNWDYxOFhtTGk4b3RjNmw2UXpoRUdhSkRSZTdoY1UwUTlTUEVOSGJQdnhWdnRqRkd0OFVuWnZVcS16WjlocFFEQXFPMDFKdDViRlBySEhUWHF3TUl3WUNGeEpBWDh1cTNCekN1Z3pmbFB1SExiQV9OQ2pvcl9YWktJNjFPejdUaWxmQmxpNURldjREeEgxQnRBY0tsUFdxR2piUFNJQXg2dkFOeVo4bENJYWgzRXNRcDhmMXJuZlZsQXZRd2ZEQjJqWnFHOUZOTkZhWnVsZUl4Vzk3em16YldQQ1dDNU9Gek9oMWJ2RzE2R2ZBT1Jad0VhNUNuN0dlWXdXWkU3dnBjZWxKWDgtRkpNY3pEXzV0QQ?oc=5,HDFCBANK.NS
2025-06-19,HDFC Bank Share Price Highlights: HDFC Bank Stock Price History - The Economic Times,https://news.google.com/rss/articles/CBMizgFBVV95cUxPTGs5Z0pPWDAxdlBQeWJRM19nSUJNcDY2akY1dEJmcnZWZTJ4Ml9XOGJKaE5rRUdwUEp6OW9PVG5Qd1Q5TThjWFcxVlR0dG1tNUtDVVVWdk5VWnFNbWdncFUybF9wUFBYd29RX04tZmdTUk1mbm5rbmt0eFA1RHJXVWtyTjNQV3A4ejRmVHdpVGx5dWYtZVd0T1lfY3lQaElSZDlELUo5cERhZ0RVVkU1OGozUEdVd0RKX3RDSE5VUEFVN2JEcFk5ODZSNlJId9IB0wFBVV95cUxNeVBBYW03WnFfM0llZ0dUdy1QbUJjU1Q5TUhDMDVQT09vTjZzMFN2QzJ3aXpXa1huZ2Z0TDN4RXNMM29DbDN6RW90c1lKUE9CMEd4dW9xYkowdGNLLVhWZF8yRXFFZkZXR1Z3bDFpRnJ2cDZBS09YWDlIcDEyY1hqN0tZSk54NTdsNzlySWhqVnZGaFdxUUM1OE92V2tsNzVfRFhjN1BlLVg5UkZvalBXUWtBYUZXRGM0UW56OFEtMThwS1hBbDd3WGZxSmx1S2dRRDh3?oc=5,HDFCBANK.NS
2025-06-21,"HDFC Bank, Vedanta among 41 stocks in focus next week for dividends, stock splits, bonus. Do you own? - The Economic Times",https://news.google.com/rss/articles/CBMirgJBVV95cUxNenFoZU10aVo4V3h3aUtPSEFlRVE1cHpFZkVMRl93eFFRMEh0WFlvQWQwVGx3YlpRUkladk5aTDBWaW8wN19SNnktNEJ2Y0FGMjFXcjZ3NHNzUmdQWldxNlpUYnJ2eFRmOEF6UnRxRGJMYl9ISGZXWkxHNUlwOENOSjBtekhJMXp1TUpJYUdNaFBDelBDNUFvaEk3ZDl0bGxzZ1ZJSk9YSldpajRJNHRxdm9mUVRSOEdQM2hBVl8xR1hiSWJIV05XemlzSHBmSUdrTm9MR0Fad1lJUGtTNjlRUWtmRjViYko4MHlfdEpYcWhPTWdkcDlSZUdUMURwTm1VelpCdlplWjZNVEF6ZGJjSUR5VXduN1JEQkdvTWQ3YVItTVF5NDUwZW16NS05Zw?oc=5,HDFCBANK.NS
2025-06-24,HDFC Bank shares inches close to record high after announcement of Q2 results 2025 date; will it climb to a new peak? - Mint,https://news.google.com/rss/articles/CBMi_gFBVV95cUxQNllyOXV5SXNpajROSlNnRlZhWXUzNlhBZzJ5NGhwS2htVENRSWdsbXRqekQ0NTlmbl9OUVhQY24yd2d0RnVmNy11WGFnLVZFOGJCVkVxNXpKSXYzN3N1QXc4aDZTWDA0WjY5QmRPMVUxRFJ2aEVWSlRuV3AxdDhZYmpPX3R1MVR3S2hCMUh5MDIzSUpRN3E1QUpEUmFHclRpSWhEQzVUR3pSTjJJMlZyMS1tT3NaQ0UyZ0ZUY25tR0JYbHZzTlcwemRzMmhBTk9JU1hhNVpUS2dSQlJMYk01N0VNd182S21EbXRJLXRTb0xzSXFrZnZpVFJpQ0hkd9IBgwJBVV95cUxQbGpJNkJtVVhMUzVfUmFLdE5hWFRpa3dELUZXZHEyLVp3QVI3akxmaWVXYUZNOVNESXA4X3pQcnB5TVFjeWRUTVNwUnM2Vll2cU9Ham1vRjR0a3lrY0txSkdoR3BOeHhteGl2OXRhRTRFUzJWc2pXQUpRLWhBdWZmMG5tVWtsOXJXR0pMUDMtendwVC1Ha1N4QmZ6THV0UVpoY3VBOEU3eHduMDhVYV8yQ2RteXhSNlRvOThNWG8tZ0c3a0VQM25MclVXd3ZSel9GdkdMc0ptSi1nY3NnZVNadFVZZ1JhYmNSTUxrczB1T18tSEJ6SEVMVTJBOEF5QnRlZGhv?oc=5,HDFCBANK.NS
2025-06-25,"HDFC Bank Shares Rise as HDB Financial Services’ ₹12,500 Crore IPO Opens for Subscription - Groww",https://news.google.com/rss/articles/CBMirAFBVV95cUxOUENxeUpjbGZtaTBIR3Z3eDFaUFlvTE5rSlFoVEtLck1mNUhpbDl2b2FxaFFIejlwWHdZSTlrS1VJLWVjeW9wRVNQdk5GbVkwWWl6UDFxX2Z4VFRJT2FOT2YtZ2hCU3hjbVhXaEZBR1cwbjZOaGdVSVJVRjAyb0p3Z2xvMzRfRDg4TVJQSjNHS3lTQUR4bk14Y1pERVUzU2lDVEZiQlJlaDhBN1FM?oc=5,HDFCBANK.NS
2025-06-26,HDFC Bank share price hits record high. Is HDB Financial IPO the reason? - Mint,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNMFZjeDNKal9vMnljaHI0SmJYY2RBQkFyN3l4alk1ZzNZUldmY25HTEdXdnY0aWYtWUdoS1B3eVdxVk03ZXFTS1RFYmFaU2Y4UV8wSWwxUVJwN0x2UzJKcWpuMDRiQWNubWk0d3NISm1wenJxODNsbzkzSVpDcXJMSGlnTEYyWWNQc2NZVGJEZmwwYmJvTFp6c3I1VTRmbDUwM1dQdnFocVN4RTUwbmF6VnRZUW5zMjBacmJaYUlnNHlCS0FaZGlTcHpuNnVfZUFqaHFtSW4zUdIB3AFBVV95cUxOMVRSRjRmQmh5ZVFNSldFNkJVZkUwTVNTTW9ZU0Jla1V1djlvS18xM25hN1l1dW1LMjkwanNGYS1RYmZkUi1qbHFHZnhpZWdqRmN6TEJweDVmOUtSUzZTckttZG55R2o1c0tMUnp5XzJMR0h6aXUxZm9KUFBCU0ttR3o4cjdsZG43VG8tOG9QUjEtVUFGeDZJc0NJSDltZDVETVFQMmxIUEpRb3hZZmRJYlNoOFVKN0RKbmtpMlYwX0lfVmdjdVplRUxhUlluTHJ0bWZaZTBFcDJVbUY5?oc=5,HDFCBANK.NS
