date,equity
2020-12-14,100000.0
2020-12-15,100000.0
2020-12-16,100000.0
2020-12-17,100000.0
2020-12-18,99710.00522552583
2020-12-21,99710.00522552583
2020-12-22,99641.47692527132
2020-12-23,99641.47692527132
2020-12-24,99641.47692527132
2020-12-28,99641.47692527132
2020-12-29,99641.47692527132
2020-12-30,99641.47692527132
2020-12-31,99641.47692527132
2021-01-01,99641.47692527132
2021-01-04,99641.47692527132
2021-01-05,99641.47692527132
2021-01-06,99641.47692527132
2021-01-07,99641.47692527132
2021-01-08,99641.47692527132
2021-01-11,99641.47692527132
2021-01-12,99641.47692527132
2021-01-13,99641.47692527132
2021-01-14,99641.47692527132
2021-01-15,99641.47692527132
2021-01-18,99641.47692527132
2021-01-19,99641.47692527132
2021-01-20,99569.94794426653
2021-01-21,99353.46620415413
2021-01-22,99426.01991395201
2021-01-25,99212.16102603922
2021-01-27,99076.55003179629
2021-01-28,98962.12147626698
2021-01-29,98962.12147626698
2021-02-01,98962.12147626698
2021-02-02,98888.21188131186
2021-02-03,98888.21188131186
2021-02-04,98816.99032615632
2021-02-05,98816.99032615632
2021-02-08,98816.99032615632
2021-02-09,98816.99032615632
2021-02-10,98748.491954986
2021-02-11,98748.491954986
2021-02-12,98748.491954986
2021-02-15,98680.1050197372
2021-02-16,98680.1050197372
2021-02-17,98821.29726249893
2021-02-18,98605.62549108108
2021-02-19,98605.62549108108
2021-02-22,98605.62549108108
2021-02-23,98605.62549108108
2021-02-24,98540.35628693819
2021-02-25,98477.97009417502
2021-02-26,98477.97009417502
2021-03-01,98477.97009417502
2021-03-02,98477.97009417502
2021-03-03,98338.15268289835
2021-03-04,98338.15268289835
2021-03-05,98338.15268289835
2021-03-08,98338.15268289835
2021-03-09,98338.15268289835
2021-03-10,98338.15268289835
2021-03-12,98338.15268289835
2021-03-15,98338.15268289835
2021-03-16,98197.68700420324
2021-03-17,98132.15120260783
2021-03-18,98259.24055374676
2021-03-19,98259.24055374676
2021-03-22,98259.24055374676
2021-03-23,98124.2155423184
2021-03-24,98124.2155423184
2021-03-25,98124.2155423184
2021-03-26,98124.2155423184
2021-03-30,98059.97130830398
2021-03-31,97988.721895909
2021-04-01,97988.721895909
2021-04-05,97988.721895909
2021-04-06,97933.35761473248
2021-04-07,97933.35761473248
2021-04-08,97933.35761473248
2021-04-09,97862.89016939426
2021-04-12,97804.92418428908
2021-04-13,97804.92418428908
2021-04-15,97938.30322331624
2021-04-16,97865.85521042308
2021-04-19,98004.99627938143
2021-04-20,98004.99627938143
2021-04-22,97938.8522495474
2021-04-23,97938.8522495474
2021-04-26,97938.8522495474
2021-04-27,97938.8522495474
2021-04-28,97938.8522495474
2021-04-29,97868.88774781865
2021-04-30,97868.88774781865
2021-05-03,97868.88774781865
2021-05-04,97811.68307585207
2021-05-05,97811.68307585207
2021-05-06,97811.68307585207
2021-05-07,97811.68307585207
2021-05-10,97811.68307585207
2021-05-11,97811.68307585207
2021-05-12,97811.68307585207
2021-05-14,97811.68307585207
2021-05-17,97811.68307585207
2021-05-18,97811.68307585207
2021-05-19,97811.68307585207
2021-05-20,97811.68307585207
2021-05-21,97811.68307585207
2021-05-24,97811.68307585207
2021-05-25,97811.68307585207
2021-05-26,97811.68307585207
2021-05-27,97811.68307585207
2021-05-28,97811.68307585207
2021-05-31,97811.68307585207
2021-06-01,97811.68307585207
2021-06-02,97811.68307585207
2021-06-03,97811.68307585207
2021-06-04,97760.36166734798
2021-06-07,97760.36166734798
2021-06-08,97760.36166734798
2021-06-09,97760.36166734798
2021-06-10,97760.36166734798
2021-06-11,97760.36166734798
2021-06-14,97760.36166734798
2021-06-15,97692.58149547101
2021-06-16,97816.47106746893
2021-06-17,97816.47106746893
2021-06-18,97816.47106746893
2021-06-21,97816.47106746893
2021-06-22,97816.47106746893
2021-06-23,97816.47106746893
2021-06-24,97816.47106746893
2021-06-25,97816.47106746893
2021-06-28,97816.47106746893
2021-06-29,97816.47106746893
2021-06-30,97816.47106746893
2021-07-01,97816.47106746893
2021-07-02,97816.47106746893
2021-07-05,97816.47106746893
2021-07-06,97816.47106746893
2021-07-07,97816.47106746893
2021-07-08,97816.47106746893
2021-07-09,97816.47106746893
2021-07-12,97816.47106746893
2021-07-13,97816.47106746893
2021-07-14,97816.47106746893
2021-07-15,97816.47106746893
2021-07-16,97816.47106746893
2021-07-19,97816.47106746893
2021-07-20,97816.47106746893
2021-07-22,97816.47106746893
2021-07-23,97816.47106746893
2021-07-26,97816.47106746893
2021-07-27,97816.47106746893
2021-07-28,97816.47106746893
2021-07-29,97816.47106746893
2021-07-30,97752.0147024572
2021-08-02,97752.0147024572
2021-08-03,97752.0147024572
2021-08-04,97681.18026031902
2021-08-05,97681.18026031902
2021-08-06,97611.70662766506
2021-08-09,97544.86964476723
2021-08-10,97544.86964476723
2021-08-11,97544.86964476723
2021-08-12,97544.86964476723
2021-08-13,97544.86964476723
2021-08-16,97544.86964476723
2021-08-17,97480.1033485992
2021-08-18,97480.1033485992
2021-08-20,97399.21512070438
2021-08-23,97399.21512070438
2021-08-24,97399.21512070438
2021-08-25,97399.21512070438
2021-08-26,97399.21512070438
2021-08-27,97399.21512070438
2021-08-30,97399.21512070438
2021-08-31,97399.21512070438
2021-09-01,97399.21512070438
2021-09-02,97399.21512070438
2021-09-03,97399.21512070438
2021-09-06,97399.21512070438
2021-09-07,97399.21512070438
2021-09-08,97399.21512070438
2021-09-09,97399.21512070438
2021-09-13,97399.21512070438
2021-09-14,97330.76111941221
2021-09-15,97262.35203372879
2021-09-16,97190.44201672672
2021-09-17,97124.64261809204
2021-09-20,97124.64261809204
2021-09-21,97124.64261809204
2021-09-22,97124.64261809204
2021-09-23,97124.64261809204
2021-09-24,97124.64261809204
2021-09-27,97124.64261809204
2021-09-28,97124.64261809204
2021-09-29,97124.64261809204
2021-09-30,97124.64261809204
2021-10-01,97124.64261809204
2021-10-04,97124.64261809204
2021-10-05,97124.64261809204
2021-10-06,97124.64261809204
2021-10-07,97124.64261809204
2021-10-08,97124.64261809204
2021-10-11,97124.64261809204
2021-10-12,97124.64261809204
2021-10-13,97124.64261809204
2021-10-14,97124.64261809204
2021-10-18,97124.64261809204
2021-10-19,97124.64261809204
2021-10-20,97124.64261809204
2021-10-21,97124.64261809204
2021-10-22,97193.02718663083
2021-10-25,97260.11491969404
2021-10-26,97120.0831244567
2021-10-27,97050.46126515626
2021-10-28,97050.46126515626
